species1	species2	replicate
321	Sebastes_goodei	Sebastes_paucispinis	57
322	Sebastes_flavidus	Sebastes_melanops	57
323	Sebastes_chlorostictus	Sebastes_ensifer	57
324	Sebastes_mystinus	Sebastes_saxicola	58
325	Sebastes_proriger	Sebastes_variegatus	58
326	Sebastes_goodei	Sebastes_paucispinis	58
327	Sebastes_flavidus	Sebastes_melanops	58
328	Sebastes_ensifer	Sebastes_rosenblatti	58
329	Sebastes_melanops	Sebastes_zacentrus	59
330	Sebastes_elongatus	Sebastes_ensifer	59
331	Sebastes_levis	Sebastes_paucispinis	59
332	Sebastes_entomelas	Sebastes_mystinus	59
333	Sebastes_chlorostictus	Sebastes_rosenblatti	59
334	Sebastes_caurinus	Sebastes_saxicola	59
335	Sebastes_ensifer	Sebastes_goodei	60
336	Sebastes_flavidus	Sebastes_mystinus	60
337	Sebastes_caurinus	Sebastes_elongatus	60
338	Sebastes_ciliatus	Sebastes_variegatus	60
339	Sebastes_chlorostictus	Sebastes_rosenblatti	60
340	Sebastes_melanops	Sebastes_proriger	61
341	Sebastes_elongatus	Sebastes_goodei	61
342	Sebastes_variegatus	Sebastes_zacentrus	61
343	Sebastes_caurinus	Sebastes_saxicola	61
344	Sebastes_chlorostictus	Sebastes_rosenblatti	61
345	Sebastes_entomelas	Sebastes_mystinus	61
346	Sebastes_caurinus	Sebastes_mystinus	62
347	Sebastes_goodei	Sebastes_levis	62
348	Sebastes_flavidus	Sebastes_melanops	62
349	Sebastes_variegatus	Sebastes_zacentrus	62
350	Sebastes_chlorostictus	Sebastes_rosenblatti	62
351	Sebastes_goodei	Sebastes_saxicola	63
352	Sebastes_mystinus	Sebastes_variegatus	63
353	Sebastes_chlorostictus	Sebastes_rosenblatti	63
354	Sebastes_flavidus	Sebastes_melanops	63
355	Sebastes_flavidus	Sebastes_variegatus	64
356	Sebastes_elongatus	Sebastes_paucispinis	64
357	Sebastes_entomelas	Sebastes_mystinus	64
358	Sebastes_ensifer	Sebastes_rosenblatti	64
359	Sebastes_caurinus	Sebastes_saxicola	64
360	Sebastes_caurinus	Sebastes_proriger	65
361	Sebastes_ciliatus	Sebastes_entomelas	65
362	Sebastes_goodei	Sebastes_paucispinis	65
363	Sebastes_variegatus	Sebastes_zacentrus	65
364	Sebastes_flavidus	Sebastes_melanops	65
365	Sebastes_ensifer	Sebastes_rosenblatti	65
366	Sebastes_melanops	Sebastes_proriger	66
367	Sebastes_elongatus	Sebastes_rosenblatti	66
368	Sebastes_levis	Sebastes_miniatus	66
369	Sebastes_goodei	Sebastes_paucispinis	66
370	Sebastes_variegatus	Sebastes_zacentrus	66
371	Sebastes_caurinus	Sebastes_saxicola	66
372	Sebastes_entomelas	Sebastes_mystinus	66
373	Sebastes_elongatus	Sebastes_entomelas	67
